Catagory	Field	Rainbow Mayfair	SOBHA Neopolis	Godrej Woods	Brigade Belvedere	Bren Aspera	Godrej Parkshire	Sattva Songbird	SOBHA OneWorld
Project Basic Information	Project Name	Rainbow Mayfair	SOBHA Neopolis	Godrej Woods	Brigade Belvedere	Bren Aspera	Godrej Parkshire	Sattva Songbird	SOBHA OneWorld
Project Basic Information	Developer / Builder Name	Rainbow Properties	SOBHA Limited	Godrej Properties Limited	Brigade Group	Bren Corporation Pvt. Ltd.	Godrej Properties Ltd.	Sattva Group / Sattva Resi Pvt. Ltd.	SOBHA Limited
Project Basic Information	Project Address	General Location: Hullahalli, Bengaluru. Key Road Access: Off, Begur - Koppa Rd, Hullahalli. Detailed Address (Legal): SY NO 41/4, AND SY NO 43/1, HULLAHALLI VILLAGE, JIGANI HOBLI, Anekal. Nearby Landmark: Near BVM Global School.	Panathur, Off Marathahalli-ORR, Bengaluru	Thanisandra Main Road, Near Kogilu Cross, North Bengaluru	Budigere Road, Bengaluru	Old Madras Road, Bengaluru	Sarkariguttahalli Village, Kasaba Hobli, Hosakote, Bengaluru Rural	Budigere Main Road, off Old Madras Road, Bengaluru	Along Old Madras Road near Hoskote Toll Gate, Bengaluru
Project Basic Information	Landmark / Key Access	Lakefront living; Close to Bannerghatta Road; Near Kalena Agrahara Metro Station (6 km) and Wipro Limited (5 km)	Panathur Main Road, ORR IT Corridor	Near Bhartiya City / Reva University	Budigere Cross, Near Old Madras Road	Old Madras Road Corridor	Hoskote | Whitefield-Hoskote Road | Hope Farm Soukya Road Extension	300 meters from Old Madras Road (OMR)	Old Madras Road, Whitefield-Hoskote Road, Budigere Road, STRR
Project Basic Information	RERA Registration No.	PRM/KA/RERA/1251/308/PR/190325/007593	PRM/KA/RERA/1251/446/PR/200923/006269, 6270, 6271	PRM/KA/RERA/1251/472/PR/121125/008248	PRM/KA/RERA/1251/446/PR/240326/008549	PRM/KA/RERA/1251/310/PR/300622/005028	PRM/KA/RERA/1250/304/PR/090126/008393	Phase 2: PRM/KA/RERA/1251/310/PR/270326/008557	Not specified
Project Basic Information	Type of Development	Villas (4 & 5 BHK Villas)	Premium Residential Township	High-Rise Residential Apartments (Forest-Themed)	Residential Apartments	Premium Residential Apartments (3 BHK Only)	Premium Residential Apartments	Integrated Township (Apartments + Row Houses)	Integrated Township with Residential, Retail & Commercial Spaces
Project Basic Information	Total Land Area	4 Acre	25 Acres 35.9 Guntas	~7 Acres	~10.75 Acres	4.39 Acres (~4 Acres 15 Gunthas)	13.8 Acres	16 Acres	48 Acres | 15.32 Guntas
Project Basic Information	Number of Phases	2	Multiple (1,2,5 shown)	Single Phase Development	Phase 1 Active	Single Phase Development	Phase details not specified	2 Phases	Future development planned
Project Basic Information	Total Units	64	1,875 units	~558 Units	1750	394 Apartments	1100 Premium Units	Phase 1: 1,379 | Phase 2: 300+ Units	3,484 Units
Project Basic Information	Current Phase Under Sale	2	Active	New Launch / Pre-Launch Phase	Phase 1 | 775 Availabe Units | Tower A & B	Active Inventory in Both Towers	2 BHK & 3 BHK Homes	Phase 2 (Pre-Launch)	Residential wings
Project Basic Information	Project Theme	Lake-Facing Serenity and Vehicle-Free Zone. Focused on luxury, serene, lakefront living with all parking tucked underground.	Greek / Santorini Theme	Sanctuary in the City (Forest-themed living with 1600+ trees)	Premium High-Rise Urban Living	Premium Community Living with Brennovation Features	Born Green | Nature-Themed High-Rise Living	Nature-Themed Township Living	Next-generation integrated township
Developer Background	Developer Reputation	Premium	Premium national developer	Tier-1 Developer; India's No. 1 listed real estate developer by sales booking. High brand recall.	Tier-1 builder (Brigade)	Established Premium Bangalore Developer	Tier-1 national developer	Tier-1 Bangalore Developer	Tier-1 premium developer
Developer Background	Past Completed Projects	Premium	530+ projects	Godrej Woodsman Estate, Godrej Platinum, Godrej Air, Godrej Reserve	Brigade Gateway, Brigade Exotica, etc.	Avalon, Unity, Paddington, Trillium, Celestia, Edgewaters, Zahara, Northern Lights	Godrej Air, Godrej United, Godrej Splendour, Godrej Woodscape, Godrej Park Retreat etc.	Sattva Greenage, Magnificia, Luxuria, Divinity, Park Cubix	SOBHA Dream Acres, SOBHA City, SOBHA Windsor, SOBHA Royal Pavilion
Developer Background	Years in Market	Premium	28 years	30+ Years (Godrej Group: 125+ Years)	35+ years	30+ Years	30+ years	30+ Years	35+ Years
Developer Background	Construction Quality	1,456 quality checks, backward integrated	High (Mivan Technology usually employed); ISO certified processes.	High (Mivan Technology)	High (Aluminium Formwork Technology)	High	Premium	Premium SOBHA construction quality	Premium
Developer Background	Customer Feedback	Positive testimonials included	Generally positive regarding amenities and landscape. Some mixed reviews regarding handover timelines in past projects.	Generally positive	Generally Positive	Generally positive	Generally Positive	Generally positive	Generally positive
Developer Background	Financial Strength	Strong - in-house manufacturing	Very Strong (Publicly Listed: GODREJPROP); High liquidity and land bank.	Strong	Strong Mid-Tier Developer	Strong	Strong (CRISIL A Rated)	Strong listed developer	Strong
Location & Connectivity	Distance to Main Road	1 Kms	Immediate access to Panathur Road	0 km (Located directly on Thanisandra Main Road)	0 km Located directly on main road	0 km Located directly on Old Madras Road (OMR)	0 km Located directly on Whitefield-Hoskote Road (Hope Farm Soukya Road belt)	0 km Located directly on main road	0 km Located directly on Old Madras Road (near Hoskote Toll Gate)
Location & Connectivity	Airport Distance	45 - 60 km (Kempegowda International Airport - BLR)	45 - 60 km	~25 mins (via New Airport Road)	~25 - 30 km (Kempegowda International Airport - BLR)	~27 - 32 km (Kempegowda International Airport - BLR | 45 - 60 mins)	~30 - 35 km (Kempegowda International Airport - BLR | ~40 - 50 mins)	~25 - 30 km (Kempegowda International Airport - BLR)	~30 - 35 km (Kempegowda International Airport - BLR | 40 - 50 mins)
Location & Connectivity	Railway Station Distance	Heelalige Railway Station	Heelalige	~15 mins (Yelahanka Junction)	KR Puram Railway Station (~10 - 12 km)	KR Puram Railway Station (~9 - 11 km | 20 - 30 mins)	Whitefield Railway Station (~10 - 12 km | ~20 - 25 mins)	KR Puram Railway Station (~10 - 12 km)	KR Puram Railway Station (~10 - 12 km | 20 - 30 mins)
Location & Connectivity	Metro Station Distance	Upcoming Namma Metro Yellow Line (Bommasandra Station - Approx. 10 - 12 km)	Metro Phase 2A/2B (proposed)	~10 mins (Upcoming Nagawara/Hebbal Metro - Blue/Pink Line)	KR Puram Metro (~10 - 12 km)	KR Puram Metro (~9 - 11 km | 20 - 25 mins)	Whitefield (Kadugodi) Metro (~10 - 12 km | ~20 - 25 mins)	KR Puram Metro (~10 - 12 km)	Whitefield (Kadugodi) Metro (~15 - 18 km | 30 - 40 mins)
Project Specifications	Construction Type	Seismic-II zone compliant RCC framed structure | Row Houses/Villas	RCC-framed high-rise structure, Neo-classical / Greek-inspired architectural design	RCC Framed Structure (Aluminum Formwork / Shear Wall Technology).	RCC High-rise	RCC (Aluminium Formwork)	RCC High-Rise Structure	RCC / Shear Wall Structure	High-rise residential township
Project Specifications	No. of Towers / Blocks	1	19 residential towers	10 Towers (Tower A to K)	43 / 5 Towers	2 Towers	5 Towers	Phase 1: 4 Towers + Row Houses | Phase 2: 2 Towers	14 Wings
Project Specifications	Floors per Tower	3	18	13	43	26	28	31	46
Project Specifications	Units per Floor	1	8	5	10	8	8	8	8
